ADD,PUSH,POP,OR,ADC,SBB,AND,ES,DAA,SUB,CS,DAS,XOR,SS,AAA,CMP,DS,AAS,PUSHA,PUSHAD,class
2.091361,0.570058,33.985649,1.889394,0,0.908508,0.205414,1.629524,0.044116,6.43607,15.895446,0.681726,0.222647,1.319336,10.478863,0.729288,0.35913,4.931311,8.137282,1.459265,b
0.378146,0.026079,3.768418,0.143435,0,0.156474,0.026079,0.625896,100,1.421307,2.712218,0.143435,0,2.686139,9.805712,0.977963,0.052158,0.573738,0.039119,1.212674,b
0,0,9.88417,0.15444,45.559845,0.46332,0,3.088803,11.119691,15.212356,38.610039,0,0,9.88417,7.567567,0,0,4.247104,0.07722,8.416988,b
6.628242,0.864553,20.749279,2.305475,0,0.288184,0,4.610951,52.449566,24.207493,52.449566,0,0.288184,26.801153,100,9.221902,0.288184,3.458213,0.576369,14.985591,b
0.939243,0.234811,26.885822,24.009394,0,6.398592,0.205459,13.472263,33.930145,26.181391,12.709129,3.111242,0.176108,32.081013,84.942764,7.279131,0.792486,10.008805,0.469621,16.143234,b
0,0,10.84016,0.495332,16.726995,0.171461,0,0.438179,100,6.305963,15.507716,0.590589,0,8.439703,3.962659,0,0.019051,9.487522,0.038102,4.096018,b
0.004384,0,12.147648,2.376047,28.385427,0.394546,0,1.139801,37.170662,11.117443,17.868572,1.9815,0,5.054579,3.822717,0,0.214809,8.802771,0.039455,8.219718,b
0.011773,0.213868,4.626614,1.32245,0,0.427736,0,1.189028,0.001962,11.495899,8.727386,1.051682,0,5.407526,3.833928,2.431032,0.172664,2.693953,0.331594,5.650826,b
0.012578,0.226401,4.735551,1.38985,0,0.438128,0,1.037671,0.002096,11.158628,8.21332,1.054441,0,5.408465,3.882355,2.402365,0.178186,2.635055,0.297675,5.712429,b
0.0593,0.019767,5.010871,1.541807,0,0.800553,0,4.328919,0.009883,14.004745,8.331686,1.779008,0,4.328919,3.538249,1.67029,0.069184,4.081834,0.326151,5.030638,b
0.011804,0.214432,4.630941,1.327904,0,0.426896,0,1.190195,0.001967,11.486859,8.718918,1.058388,0,5.400142,3.838133,2.431539,0.173119,2.691218,0.328533,5.653919,b
0.060265,0.020088,5.092407,1.566894,0,0.783447,0,4.479711,0.010044,14.222579,8.527521,1.817999,0,4.35918,3.595822,1.697469,0.070309,4.148252,0.331458,5.092407,b
0.0593,0.019767,5.010871,1.541807,0,0.800553,0,4.328919,0.009883,14.004745,8.331686,1.779008,0,4.328919,3.538249,1.67029,0.069184,4.081834,0.326151,5.030638,b
0.061038,0.020346,5.066124,1.586979,0,0.793489,0,4.374364,0.010173,13.926755,8.575788,1.820956,0,4.384537,3.611394,1.719227,0.071211,4.181078,0.335707,5.137335,b
0.253058,0.421763,3.163222,1.012231,0,0.632644,0,1.13876,0.042176,9.742725,5.735976,1.982286,0,3.795867,3.922396,2.235344,0.253058,2.825812,0.253058,5.525095,b
0.010711,0.198158,4.629035,1.26571,0,0.437375,0,1.226435,0.001785,11.130749,8.676092,1.006855,0,5.369894,3.856041,2.486789,0.17138,2.634962,0.324907,5.443088,b
0.011557,0.211877,4.655508,1.309783,0,0.423753,0,1.173026,0.001926,11.452896,8.725466,1.047826,0,5.506867,3.873491,2.450065,0.181058,2.704317,0.32552,5.585839,b
0.218723,0.612423,23.140858,2.755905,0,2.712161,0.043745,17.5853,0.48119,13.735783,10.542432,0.96238,0.043745,36.132984,100,2.79965,0.524934,1.44357,0.087489,4.15573,b
1.220371,0,16.59235,1.548932,29.96949,0.539779,0,0.140812,39.380428,19.197372,20.793242,4.482516,0.023469,7.627317,4.576391,0,0.187749,7.979348,0.750997,16.709692,b
1.301032,0.538358,100,3.454464,0,12.202782,0.089726,17.27232,26.603859,8.79318,8.972633,0.8524,0.134589,14.58053,54.015255,3.67878,0.717811,2.736653,0.403769,14.490803,b
0,0,6.230926,0.254323,27.174467,0.356053,0,0.8647,39.877926,12.487284,24.1353,3.02645,0,5.645982,4.285351,0,0.025432,3.853001,0.063581,8.557985,b
0,0,17.398046,2.341448,45.216312,0,0,0,83.206703,11.273066,46.410294,0,0,9.536363,0.41867,0,0.015506,18.483486,0.263607,2.946193,b
0,0,10.523623,0.989255,0,0.511683,0,1.193928,20.535561,10.472454,38.973221,0.716357,0,10.182501,70.407639,7.044175,1.517994,1.347433,0.017056,2.609586,b
1.165524,0,9.764936,1.22429,32.331051,1.390793,0,1.596474,22.644466,15.416259,28.246817,2.321254,0.009794,6.660137,5.073457,0,0.254652,6.728698,0.097943,13.574926,b
0.413284,0.147601,17.210331,5.107011,0,2.479705,0.01476,3.114391,36.856087,7.940959,6.523985,0.619926,0.059041,7.02583,30.420664,3.911439,0.354244,7.306273,0.088561,4.841329,b
0,0.029603,20.534832,1.026248,0,0.078942,0.019736,0.325636,50.078941,13.262285,21.620289,1.342017,0,18.294849,49.753304,8.831656,0.197355,7.933689,0.009868,9.996053,b
0.051813,0.034542,15.060449,1.658031,0,0.794473,0.017271,3.246978,39.550953,10.552677,11.813472,1.312608,0,18.238342,54.455959,9.620035,0.310881,4.594128,0.189983,6.493955,b
0.031192,0,17.404865,1.154086,30.099812,0.717405,0,0.187149,59.139114,19.026825,16.781034,2.027448,0,9.170305,5.988771,0,0.218341,9.232689,0.904554,12.850904,b
